time;P;;;;;;;;;;
20200107:0511;0.0;;;;;;;;;;
20200107:0611;0.0;;;;;;;;;;
20200107:0711;0.0;;;;;;;;;;
20200107:0811;67356.0;;;;;;;;;;
20200107:0911;64674.0;;;;;;;;;;
20200107:1011;61056.0;;;;;;;;;;
20200107:1111;49626.0;;;;;;;;;;
20200107:1211;98532.0;;;;;;;;;;
20200107:1311;115020.0;;;;;;;;;;
20200107:1411;34434.0;;;;;;;;;;
20200107:1511;0.0;;;;;;;;;;
20200107:1611;0.0;;;;;;;;;;
20200107:1711;0.0;;;;;;;;;;
20200107:1811;0.0;;;;;;;;;;
20200107:1911;0.0;;;;;;;;;;
20200107:2011;0.0;;;;;;;;;;
20200107:2111;0.0;;;;;;;;;;
20200107:2211;0.0;;;;;;;;;;
20200107:2311;0.0;;;;;;;;;;
20200108:0011;0.0;;;;;;;;;;
20200108:0111;0.0;;;;;;;;;;
20200108:0211;0.0;;;;;;;;;;
20200108:0311;0.0;;;;;;;;;;
20200108:0411;0.0;;;;;;;;;;
20200108:0511;0.0;;;;;;;;;;
20200108:0611;0.0;;;;;;;;;;
20200108:0711;0.0;;;;;;;;;;
20200108:0811;43974.0;;;;;;;;;;
20200108:0911;12312.0;;;;;;;;;;
20200108:1011;67608.0;;;;;;;;;;
20200108:1111;96408.0;;;;;;;;;;
20200108:1211;58806.0;;;;;;;;;;
20200108:1311;54540.0;;;;;;;;;;
20200108:1411;774.0;;;;;;;;;;
20200108:1511;0.0;;;;;;;;;;
20200108:1611;0.0;;;;;;;;;;
20200108:1711;0.0;;;;;;;;;;
20200108:1811;0.0;;;;;;;;;;
20200108:1911;0.0;;;;;;;;;;
20200108:2011;0.0;;;;;;;;;;
20200108:2111;0.0;;;;;;;;;;
20200108:2211;0.0;;;;;;;;;;
20200108:2311;0.0;;;;;;;;;;
20200109:0011;0.0;;;;;;;;;;
20200109:0111;0.0;;;;;;;;;;
20200109:0211;0.0;;;;;;;;;;
20200109:0311;0.0;;;;;;;;;;
20200109:0411;0.0;;;;;;;;;;
20200109:0511;0.0;;;;;;;;;;
20200109:0611;0.0;;;;;;;;;;
20200109:0711;0.0;;;;;;;;;;
20200109:0811;0.0;;;;;;;;;;
20200109:0911;81612.0;;;;;;;;;;
20200109:1011;39438.0;;;;;;;;;;
20200109:1111;83916.0;;;;;;;;;;
20200109:1211;153450.0;;;;;;;;;;
20200109:1311;70020.0;;;;;;;;;;
20200109:1411;9882.0;;;;;;;;;;
20200109:1511;0.0;;;;;;;;;;
20200109:1611;0.0;;;;;;;;;;
20200109:1711;0.0;;;;;;;;;;
20200109:1811;0.0;;;;;;;;;;
20200109:1911;0.0;;;;;;;;;;
20200109:2011;0.0;;;;;;;;;;
20200109:2111;0.0;;;;;;;;;;
20200109:2211;0.0;;;;;;;;;;
20200109:2311;0.0;;;;;;;;;;
20200110:0011;0.0;;;;;;;;;;
20200110:0111;0.0;;;;;;;;;;
20200110:0211;0.0;;;;;;;;;;
20200110:0311;0.0;;;;;;;;;;
20200110:0411;0.0;;;;;;;;;;
20200110:0511;0.0;;;;;;;;;;
20200110:0611;0.0;;;;;;;;;;
20200110:0711;0.0;;;;;;;;;;
20200110:0811;199026.0;;;;;;;;;;
20200110:0911;507312.0;;;;;;;;;;
20200110:1011;592668.0;;;;;;;;;;
20200110:1111;574884.0;;;;;;;;;;
20200110:1211;353790.0;;;;;;;;;;
20200110:1311;509544.0;;;;;;;;;;
20200110:1411;33588.0;;;;;;;;;;
20200110:1511;0.0;;;;;;;;;;
20200110:1611;0.0;;;;;;;;;;
20200110:1711;0.0;;;;;;;;;;
20200110:1811;0.0;;;;;;;;;;
20200110:1911;0.0;;;;;;;;;;
20200110:2011;0.0;;;;;;;;;;
20200110:2111;0.0;;;;;;;;;;
20200110:2211;0.0;;;;;;;;;;
20200110:2311;0.0;;;;;;;;;;
20200111:0011;0.0;;;;;;;;;;
20200111:0111;0.0;;;;;;;;;;
20200111:0211;0.0;;;;;;;;;;
20200111:0311;0.0;;;;;;;;;;
20200111:0411;0.0;;;;;;;;;;
20200111:0511;0.0;;;;;;;;;;
20200111:0611;0.0;;;;;;;;;;
20200111:0711;0.0;;;;;;;;;;
