snapshots,v1,v2,v3,v4,v5,v6,v7,v8
03.01.2022 01:00,83.22985768,33.15997347,93.00990048,121.5195953,77.02983053,52.50991651,125.0797899,68.0799
03.01.2022 02:00,73.26987471,33.95997283,68.52992667,127.1595766,73.22983889,55.38991193,96.79983738,75.4797
03.01.2022 03:00,63.98989058,34.07997274,51.72994465,122.0795935,73.34983863,55.94991104,86.47985471,82.1996
03.01.2022 04:00,57.98990084,32.47997402,44.68995218,115.5996151,71.98984162,50.46991975,76.07987219,74.9997
03.01.2022 05:00,57.02990248,32.23997421,44.79995206,110.9196306,70.46984497,53.34991517,65.91988925,72.7599
03.01.2022 06:00,59.18989879,35.15997187,38.5999587,126.0795802,75.38983414,59.34990563,60.83989779,79.0397
03.01.2022 07:00,66.82988572,38.19996944,64.03993148,135.9595473,86.46980977,69.7498891,58.35990196,92.3196
03.01.2022 08:00,70.50987943,37.27997018,76.639918,131.7195614,89.74980255,78.78987472,70.15988213,103.1994
03.01.2022 09:00,66.82988572,38.8799689,59.1599367,137.0795435,83.47981634,76.18987886,93.75984248,108.4793
03.01.2022 10:00,73.3898745,40.43996765,107.6398848,138.8795375,78.27982778,75.78987949,169.7197149,108.5593
03.01.2022 11:00,88.78984817,39.79996816,174.3998134,141.0795302,80.87982206,85.50986404,279.9595297,108.5192
03.01.2022 12:00,98.50983155,41.63996669,200.1197859,137.6395417,89.75980253,95.18984865,342.1594252,98.7994
03.01.2022 13:00,105.4698196,41.91996646,198.7597873,138.3195394,89.35980341,98.62984318,351.6394092,100.4795
03.01.2022 14:00,109.8298122,38.47996922,200.7997851,140.9195307,82.39981872,90.70985577,341.9994254,101.6794
03.01.2022 15:00,103.2698234,38.47996922,210.5197747,132.5195587,83.87981546,79.34987383,287.3595172,94.2396
03.01.2022 16:00,91.38984372,41.63996669,201.7197842,125.519582,88.27980578,77.26987714,212.3996432,100.1595
03.01.2022 17:00,83.46985727,42.95996563,204.7197809,128.5595719,90.83980015,80.14987256,186.879686,106.1592
03.01.2022 18:00,103.6698227,42.03996637,236.2397472,129.7995678,107.6797631,91.78985405,242.7595922,101.0794
03.01.2022 19:00,125.6297852,45.75996339,260.0797217,140.6395317,119.559737,101.7898382,342.9594238,83.9596
03.01.2022 20:00,128.2297807,45.47996362,269.9597111,160.0394671,124.1997268,88.10985991,346.6794176,94.1996
03.01.2022 21:00,123.8697882,42.55996595,269.6797114,150.5594986,118.5997391,74.66988127,304.2394889,99.4795
03.01.2022 22:00,108.3098148,40.31996774,241.119742,131.9995604,99.3197815,69.06989018,270.8795449,96.8396
03.01.2022 23:00,96.98983415,37.39997008,167.4798208,127.7195747,86.07981062,57.42990869,193.1996754,92.2796
04.01.2022 00:00,85.38985398,36.59997072,103.8398889,118.919604,77.9998284,49.22992172,116.5598042,93.8396
04.01.2022 01:00,85.0298546,34.8799721,90.87990276,128.9595706,82.71981802,64.54989737,76.03987225,89.1596
04.01.2022 02:00,72.14987662,34.999972,54.59994158,134.8795509,78.63982699,59.66990512,58.79990122,99.1594
04.01.2022 03:00,65.86988736,35.1199719,44.63995224,130.319566,76.9998306,67.02989342,56.99990424,100.5994
04.01.2022 04:00,66.14988688,34.07997274,42.47995455,120.9995971,76.47983174,106.9498299,54.95990767,86.7596
04.01.2022 05:00,79.06986479,31.15997507,42.99995399,115.5196153,76.47983174,251.6295999,54.95990767,89.7996
04.01.2022 06:00,89.66984666,36.19997104,35.43996208,128.839571,81.35982101,332.6694711,56.87990444,95.3995
04.01.2022 07:00,104.7498209,42.91996566,76.71991791,142.5195254,92.23979707,313.0695022,58.79990122,95.3996
04.01.2022 08:00,145.7897507,217.6798259,112.3198798,139.9195341,133.8797055,322.9894864,70.67988126,94.6796
